id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10917328, fen1.bg.cmc.msu.ru.10917328,2017-01-05 01:24,2017-01-05 01:39,2017-01-05 01:54,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
 fen1.bg.cmc.msu.ru.10917329, fen1.bg.cmc.msu.ru.10917329,2017-01-05 01:24,2017-01-05 01:39,2017-01-05 01:54,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
 fen1.bg.cmc.msu.ru.10917330, fen1.bg.cmc.msu.ru.10917330,2017-01-05 01:24,2017-01-05 01:54,2017-01-05 01:55,pseudo_cluster_user_11,pseudo_cluster_group_6,15,64,0.02,0.057,1.405,32.407,5.983,0.188,11.54,1, Completed
 fen1.bg.cmc.msu.ru.10917331, fen1.bg.cmc.msu.ru.10917331,2017-01-05 01:30,2017-01-05 01:31,2017-01-05 01:32,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917332, fen1.bg.cmc.msu.ru.10917332,2017-01-05 01:30,2017-01-05 01:31,2017-01-05 01:32,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917333, fen1.bg.cmc.msu.ru.10917333,2017-01-05 01:30,2017-01-05 01:32,2017-01-05 01:33,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917334, fen1.bg.cmc.msu.ru.10917334,2017-01-05 01:30,2017-01-05 01:32,2017-01-05 01:32,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917335, fen1.bg.cmc.msu.ru.10917335,2017-01-05 01:31,2017-01-05 01:33,2017-01-05 01:34,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917337, fen1.bg.cmc.msu.ru.10917337,2017-01-05 01:31,2017-01-05 01:34,2017-01-05 01:35,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917338, fen1.bg.cmc.msu.ru.10917338,2017-01-05 01:31,2017-01-05 01:34,2017-01-05 01:35,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917339, fen1.bg.cmc.msu.ru.10917339,2017-01-05 01:31,2017-01-05 01:36,2017-01-05 01:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917340, fen1.bg.cmc.msu.ru.10917340,2017-01-05 01:31,2017-01-05 01:37,2017-01-05 01:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917341, fen1.bg.cmc.msu.ru.10917341,2017-01-05 01:31,2017-01-05 01:38,2017-01-05 01:40,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917343, fen1.bg.cmc.msu.ru.10917343,2017-01-05 01:31,2017-01-05 01:38,2017-01-05 01:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917344, fen1.bg.cmc.msu.ru.10917344,2017-01-05 01:32,2017-01-05 01:38,2017-01-05 01:39,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917345, fen1.bg.cmc.msu.ru.10917345,2017-01-05 01:32,2017-01-05 01:39,2017-01-05 01:41,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917346, fen1.bg.cmc.msu.ru.10917346,2017-01-05 01:32,2017-01-05 01:41,2017-01-05 01:42,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917347, fen1.bg.cmc.msu.ru.10917347,2017-01-05 01:32,2017-01-05 01:43,2017-01-05 01:44,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
