time_limit,required_cpus,task_time,state
15,64,14.9999999965075, Removed
15,128,6.0000000090804, Completed
15,128,5.99999999860302, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
15,128,4.99999999534339, Completed
5,32,0, Completed
15,128,5.00000000582077, Completed
15,64,0, Completed
15,64,0, Completed
15,64,0, Completed
15,32,1.99999999604188, Completed
10,32,1.99999999604188, Completed
10,32,0.99999999278225, Completed
10,32,1.00000000325963, Completed
10,32,2.00000000651926, Completed
10,32,1.00000000325963, Completed
10,32,0, Completed
10,32,0.99999999278225, Completed
10,32,0.99999999278225, Completed
10,64,0, Removed
10,64,0, Removed
15,128,5.00000000582077, Completed
10,32,1.99999999604188, Completed
10,32,1.99999999604188, Completed
10,32,1.00000000325963, Completed
10,32,1.00000000325963, Completed
10,32,1.00000000325963, Completed
10,32,1.00000000325963, Completed
10,32,0, Completed
10,32,0.99999999278225, Completed
10,32,0, Completed
10,32,1.00000000325963, Completed
10,64,0, Completed
10,64,0, Completed
10,128,0, Completed
10,128,0, Completed
10,256,0, Completed
10,256,1.00000000325963, Completed
5,512,0.99999999278225, Completed
5,512,0.99999999278225, Completed
3,1024,1.00000000325963, Completed
3,1024,0, Completed
5,32,0, Completed
15,128,4.99999999534339, Completed
15,128,4.99999999534339, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
15,128,4.99999999534339, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0.99999999278225, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,64,0, Completed
5,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,64,0, Completed
5,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,64,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,4.00000000256114, Completed
15,32,4.00000000256114, Completed
5,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,64,0, Completed
5,32,0.99999999278225, Completed
15,32,1.99999999604188, Completed
15,32,1.99999999604188, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,1.00000000325963, Completed
15,32,13.9999999932479, Completed
15,32,14.9999999965075, Removed
15,32,2.00000000651926, Completed
15,32,1.99999999604188, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0, Completed
15,32,14.9999999965075, Removed
15,32,14.9999999965075, Removed
15,32,14.9999999965075, Completed
15,32,14.9999999965075, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.99999999604188, Completed
15,32,0.99999999278225, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0, Completed
5,32,0, Completed
15,32,10.0000000011642, Removed
15,32,11.0000000044238, Removed
15,32,11.0000000044238, Removed
15,32,1.00000000325963, Removed
15,32,0, Removed
15,32,0, Removed
15,64,0, Removed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0.99999999278225, Completed
10,128,1.00000000325963, Completed
5,32,0, Completed
8,128,0, Completed
8,128,1.00000000325963, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
10,128,0, Completed
10,128,0, Completed
5,32,0.99999999278225, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,1.99999999604188, Completed
5,32,1.00000000325963, Completed
5,32,0.99999999278225, Completed
5,32,0.99999999278225, Completed
5,32,2.00000000651926, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,4.00000000256114, Completed
15,32,14.0000000037253, Completed
15,32,14.9999999965075, Removed
15,32,14.9999999965075, Completed
15,32,15.0000000069849, Removed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0.99999999278225, Completed
15,64,0, Completed
15,64,0, Completed
15,128,0, Completed
15,128,0, Completed
120,32,2.00000000651926, Completed
120,32,0, Completed
120,32,1.00000000325963, Completed
120,32,4.00000000256114, Completed
5,128,1.00000000325963, Completed
5,256,0.99999999278225, Completed
5,256,0, Completed
5,256,0, Completed
5,256,1.99999999604188, Completed
5,256,2.00000000651926, Completed
5,256,1.00000000325963, Completed
5,256,1.99999999604188, Completed
5,128,1.99999999604188, Completed
5,64,2.00000000651926, Completed
5,32,1.99999999604188, Completed
5,256,1.00000000325963, Completed
15,128,5.00000000582077, Completed
15,128,1.00000000325963, Completed
15,128,4.99999999534339, Completed
15,128,1.00000000325963, Completed
5,32,5.00000000582077, Removed
15,128,1.99999999604188, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0.99999999278225, Completed
5,32,1.99999999604188, Completed
5,64,0, Completed
5,64,1.00000000325963, Completed
5,64,1.00000000325963, Completed
5,64,1.99999999604188, Completed
5,32,0, Completed
5,32,0.99999999278225, Completed
5,32,1.00000000325963, Completed
5,32,1.00000000325963, Completed
15,128,1.00000000325963, Completed
15,128,5.00000000582077, Completed
5,32,5.00000000582077, Completed
15,32,11.999999997206, Completed
15,128,5.00000000582077, Completed
15,128,4.99999999534339, Completed
15,32,11.999999997206, Completed
15,128,7.00000000186265, Removed
15,32,0.99999999278225, Completed
30,32,17.0000000030268, Completed
15,128,0.99999999278225, Completed
15,32,1.00000000325963, Completed
15,32,4.99999999534339, Removed
15,128,1.00000000325963, Completed
15,32,0.99999999278225, Completed
15,128,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
5,32,0.99999999278225, Completed
15,32,0, Completed
5,32,0.99999999278225, Completed
5,32,0.99999999278225, Completed
